Fighter,URL
Banjo & Kazooie,https://www.smashbros.com/en_US/fighter/73.html
Bayonetta,https://www.smashbros.com/en_US/fighter/63.html
Bowser,https://www.smashbros.com/en_US/fighter/14.html
Bowser Jr.,https://www.smashbros.com/en_US/fighter/58.html
Byleth,https://www.smashbros.com/en_US/fighter/75.html
Captain Falcon,https://www.smashbros.com/en_US/fighter/11.html
Charizard,https://www.smashbros.com/en_US/fighter/33-35.html
Chrom,https://www.smashbros.com/en_US/fighter/25e.html
Cloud,https://www.smashbros.com/en_US/fighter/61.html
Corrin,https://www.smashbros.com/en_US/fighter/62.html
Daisy,https://www.smashbros.com/en_US/fighter/13e.html
Dark Pit,https://www.smashbros.com/en_US/fighter/28e.html
Dark Samus,https://www.smashbros.com/en_US/fighter/04e.html
Diddy Kong,https://www.smashbros.com/en_US/fighter/36.html
Donkey Kong,https://www.smashbros.com/en_US/fighter/02.html
Dr. Mario,https://www.smashbros.com/en_US/fighter/18.html
Duck Hunt,https://www.smashbros.com/en_US/fighter/59.html
Falco,https://www.smashbros.com/en_US/fighter/20.html
Fox,https://www.smashbros.com/en_US/fighter/07.html
Ganondorf,https://www.smashbros.com/en_US/fighter/23.html
Greninja,https://www.smashbros.com/en_US/fighter/50.html
Hero,https://www.smashbros.com/en_US/fighter/72.html
Ice Climbers,https://www.smashbros.com/en_US/fighter/15.html
Ike,https://www.smashbros.com/en_US/fighter/32.html
Incineroar,https://www.smashbros.com/en_US/fighter/69.html
Inkling,https://www.smashbros.com/en_US/fighter/64.html
Isabelle,https://www.smashbros.com/en_US/fighter/68.html
Ivysaur,https://www.smashbros.com/en_US/fighter/33-35.html
Jigglypuff,https://www.smashbros.com/en_US/fighter/12.html
Joker,https://www.smashbros.com/en_US/fighter/71.html
Kazuya,https://www.smashbros.com/en_US/fighter/81.html
Ken,https://www.smashbros.com/en_US/fighter/60e.html
King Dedede,https://www.smashbros.com/en_US/fighter/39.html
King K. Rool,https://www.smashbros.com/en_US/fighter/67.html
Kirby,https://www.smashbros.com/en_US/fighter/06.html
Link,https://www.smashbros.com/en_US/fighter/03.html
Little Mac,https://www.smashbros.com/en_US/fighter/49.html
Lucario,https://www.smashbros.com/en_US/fighter/41.html
Lucas,https://www.smashbros.com/en_US/fighter/37.html
Lucina,https://www.smashbros.com/en_US/fighter/21e.html
Luigi,https://www.smashbros.com/en_US/fighter/09.html
Mario,https://www.smashbros.com/en_US/fighter/01.html
Marth,https://www.smashbros.com/en_US/fighter/21.html
Mega Man,https://www.smashbros.com/en_US/fighter/46.html
Meta Knight,https://www.smashbros.com/en_US/fighter/27.html
Mewtwo,https://www.smashbros.com/en_US/fighter/24.html
Mii Brawler,https://www.smashbros.com/en_US/fighter/51-53.html
Mii Gunner,https://www.smashbros.com/en_US/fighter/51-53.html
Mii Swordfighter,https://www.smashbros.com/en_US/fighter/51-53.html
Min Min,https://www.smashbros.com/en_US/fighter/76.html
Mr. Game & Watch,https://www.smashbros.com/en_US/fighter/26.html
Mythra,https://www.smashbros.com/en_US/fighter/79-80.html
Ness,https://www.smashbros.com/en_US/fighter/10.html
Olimar,https://www.smashbros.com/en_US/fighter/40.html
Pac-Man,https://www.smashbros.com/en_US/fighter/55.html
Palutena,https://www.smashbros.com/en_US/fighter/54.html
Peach,https://www.smashbros.com/en_US/fighter/13.html
Pichu,https://www.smashbros.com/en_US/fighter/19.html
Pikachu,https://www.smashbros.com/en_US/fighter/08.html
Piranha Plant,https://www.smashbros.com/en_US/fighter/70.html
Pit,https://www.smashbros.com/en_US/fighter/28.html
Pyra,https://www.smashbros.com/en_US/fighter/79-80.html
Richter,https://www.smashbros.com/en_US/fighter/66e.html
Ridley,https://www.smashbros.com/en_US/fighter/65.html
R.O.B.,https://www.smashbros.com/en_US/fighter/42.html
Robin,https://www.smashbros.com/en_US/fighter/56.html
Rosalina & Luma,https://www.smashbros.com/en_US/fighter/48.html
Roy,https://www.smashbros.com/en_US/fighter/25.html
Ryu,https://www.smashbros.com/en_US/fighter/60.html
Samus,https://www.smashbros.com/en_US/fighter/04.html
Sephiroth,https://www.smashbros.com/en_US/fighter/78.html
Sheik,https://www.smashbros.com/en_US/fighter/16.html
Shulk,https://www.smashbros.com/en_US/fighter/57.html
Simon,https://www.smashbros.com/en_US/fighter/66.html
Snake,https://www.smashbros.com/en_US/fighter/31.html
Sonic,https://www.smashbros.com/en_US/fighter/38.html
Sora,https://www.smashbros.com/en_US/fighter/82.html
Squirtle,https://www.smashbros.com/en_US/fighter/33-35.html
Steve,https://www.smashbros.com/en_US/fighter/77.html
Terry,https://www.smashbros.com/en_US/fighter/74.html
Toon Link,https://www.smashbros.com/en_US/fighter/43.html
Villager,https://www.smashbros.com/en_US/fighter/45.html
Wario,https://www.smashbros.com/en_US/fighter/30.html
Wii Fit Trainer,https://www.smashbros.com/en_US/fighter/47.html
Wolf,https://www.smashbros.com/en_US/fighter/44.html
Yoshi,https://www.smashbros.com/en_US/fighter/05.html
Young Link,https://www.smashbros.com/en_US/fighter/22.html
Zelda,https://www.smashbros.com/en_US/fighter/17.html
Zero Suit Samus,https://www.smashbros.com/en_US/fighter/29.html
